Date,Centre_Name,Commodity_Name,Price
26/12/1997,AGARTALA,Wheat,NA
26/12/1997,BENGALURU,Wheat,9
26/12/1997,T.PURAM,Wheat,9
26/12/1997,CHENNAI,Wheat,NA
26/12/1997,HYDERABAD,Wheat,8.5
29/12/1997,DELHI,Wheat,7.5
29/12/1997,SHIMLA,Wheat,NA
29/12/1997,LUCKNOW,Wheat,5.5
29/12/1997,AHMEDABAD,Wheat,8
29/12/1997,BHOPAL,Wheat,7.5
29/12/1997,MUMBAI,Wheat,9
29/12/1997,JAIPUR,Wheat,6.8
29/12/1997,PATNA,Wheat,7
29/12/1997,BHUBANESHWAR,Wheat,8
29/12/1997,KOLKATA,Wheat,7
29/12/1997,GUWAHATI,Wheat,NA
29/12/1997,SHILLONG,Wheat,9
29/12/1997,AIZWAL,Wheat,NA
29/12/1997,AGARTALA,Wheat,NA
29/12/1997,BENGALURU,Wheat,9
29/12/1997,T.PURAM,Wheat,9
29/12/1997,CHENNAI,Wheat,11.5
29/12/1997,HYDERABAD,Wheat,8.5
30/12/1997,DELHI,Wheat,7.5
30/12/1997,SHIMLA,Wheat,NA
30/12/1997,LUCKNOW,Wheat,6.5
30/12/1997,AHMEDABAD,Wheat,8.5
30/12/1997,BHOPAL,Wheat,7.5
30/12/1997,MUMBAI,Wheat,9
30/12/1997,JAIPUR,Wheat,6.8
30/12/1997,PATNA,Wheat,7
30/12/1997,BHUBANESHWAR,Wheat,8
30/12/1997,KOLKATA,Wheat,7
30/12/1997,GUWAHATI,Wheat,NA
30/12/1997,SHILLONG,Wheat,9
30/12/1997,AIZWAL,Wheat,NA
30/12/1997,AGARTALA,Wheat,NA
30/12/1997,BENGALURU,Wheat,9
30/12/1997,T.PURAM,Wheat,9
30/12/1997,CHENNAI,Wheat,11.5
30/12/1997,HYDERABAD,Wheat,8
31/12/1997,DELHI,Wheat,7.5
31/12/1997,SHIMLA,Wheat,NA
31/12/1997,LUCKNOW,Wheat,6.5
31/12/1997,AHMEDABAD,Wheat,8.5
31/12/1997,BHOPAL,Wheat,7.25
31/12/1997,MUMBAI,Wheat,10
31/12/1997,JAIPUR,Wheat,6.8
31/12/1997,PATNA,Wheat,6.25
31/12/1997,BHUBANESHWAR,Wheat,8
31/12/1997,KOLKATA,Wheat,7
31/12/1997,GUWAHATI,Wheat,NA
31/12/1997,SHILLONG,Wheat,9
31/12/1997,AIZWAL,Wheat,NA
31/12/1997,AGARTALA,Wheat,NA
31/12/1997,BENGALURU,Wheat,9
31/12/1997,T.PURAM,Wheat,9
31/12/1997,CHENNAI,Wheat,11.5
31/12/1997,HYDERABAD,Wheat,8
1/1/1998,DELHI,Wheat,7.5
1/1/1998,SHIMLA,Wheat,NA
1/1/1998,LUCKNOW,Wheat,6.5
1/1/1998,AHMEDABAD,Wheat,8.5
1/1/1998,BHOPAL,Wheat,7.25
1/1/1998,MUMBAI,Wheat,10
1/1/1998,JAIPUR,Wheat,6.8
1/1/1998,PATNA,Wheat,6.25
1/1/1998,BHUBANESHWAR,Wheat,8
1/1/1998,KOLKATA,Wheat,7
1/1/1998,GUWAHATI,Wheat,NA
1/1/1998,SHILLONG,Wheat,9
1/1/1998,AIZWAL,Wheat,NA
1/1/1998,AGARTALA,Wheat,NA
1/1/1998,BENGALURU,Wheat,9
1/1/1998,T.PURAM,Wheat,9
1/1/1998,CHENNAI,Wheat,11.5
1/1/1998,HYDERABAD,Wheat,8
2/1/1998,DELHI,Wheat,7.5
2/1/1998,SHIMLA,Wheat,NA
2/1/1998,LUCKNOW,Wheat,6.5
2/1/1998,AHMEDABAD,Wheat,8.5
2/1/1998,BHOPAL,Wheat,7.25
2/1/1998,MUMBAI,Wheat,10
2/1/1998,JAIPUR,Wheat,6.8
2/1/1998,PATNA,Wheat,6.25
2/1/1998,BHUBANESHWAR,Wheat,8
2/1/1998,KOLKATA,Wheat,7
2/1/1998,GUWAHATI,Wheat,NA
2/1/1998,SHILLONG,Wheat,10
2/1/1998,AIZWAL,Wheat,NA
2/1/1998,AGARTALA,Wheat,NA
2/1/1998,BENGALURU,Wheat,9
2/1/1998,T.PURAM,Wheat,9
2/1/1998,CHENNAI,Wheat,NA
2/1/1998,HYDERABAD,Wheat,8
5/1/1998,DELHI,Wheat,8
5/1/1998,SHIMLA,Wheat,NA
5/1/1998,LUCKNOW,Wheat,6.5
5/1/1998,AHMEDABAD,Wheat,8.4
5/1/1998,BHOPAL,Wheat,7.25
5/1/1998,MUMBAI,Wheat,10
5/1/1998,JAIPUR,Wheat,6.8
5/1/1998,PATNA,Wheat,6.25
5/1/1998,BHUBANESHWAR,Wheat,8
5/1/1998,KOLKATA,Wheat,7
5/1/1998,GUWAHATI,Wheat,NA
5/1/1998,SHILLONG,Wheat,10
5/1/1998,AIZWAL,Wheat,NA
5/1/1998,AGARTALA,Wheat,NA
5/1/1998,BENGALURU,Wheat,9
5/1/1998,T.PURAM,Wheat,9
5/1/1998,CHENNAI,Wheat,NA
5/1/1998,HYDERABAD,Wheat,8
6/1/1998,DELHI,Wheat,8
6/1/1998,SHIMLA,Wheat,NA
6/1/1998,LUCKNOW,Wheat,7
6/1/1998,AHMEDABAD,Wheat,8.4
6/1/1998,BHOPAL,Wheat,7.25
6/1/1998,MUMBAI,Wheat,10
6/1/1998,JAIPUR,Wheat,6.8
6/1/1998,PATNA,Wheat,6.25
6/1/1998,BHUBANESHWAR,Wheat,8
6/1/1998,KOLKATA,Wheat,7
6/1/1998,GUWAHATI,Wheat,NA
6/1/1998,SHILLONG,Wheat,10
6/1/1998,AIZWAL,Wheat,NA
6/1/1998,AGARTALA,Wheat,NA
6/1/1998,BENGALURU,Wheat,9
6/1/1998,T.PURAM,Wheat,9
6/1/1998,CHENNAI,Wheat,NA
6/1/1998,HYDERABAD,Wheat,8
7/1/1998,DELHI,Wheat,8
7/1/1998,SHIMLA,Wheat,NA
7/1/1998,LUCKNOW,Wheat,6.5
7/1/1998,AHMEDABAD,Wheat,9
7/1/1998,BHOPAL,Wheat,7.25
7/1/1998,MUMBAI,Wheat,10
7/1/1998,JAIPUR,Wheat,6.8
7/1/1998,PATNA,Wheat,6.25
7/1/1998,BHUBANESHWAR,Wheat,8
7/1/1998,KOLKATA,Wheat,7
7/1/1998,GUWAHATI,Wheat,NA
7/1/1998,SHILLONG,Wheat,10
7/1/1998,AIZWAL,Wheat,NA
7/1/1998,AGARTALA,Wheat,NA
7/1/1998,BENGALURU,Wheat,9
7/1/1998,T.PURAM,Wheat,9
7/1/1998,CHENNAI,Wheat,NA
7/1/1998,HYDERABAD,Wheat,11
8/1/1998,DELHI,Wheat,8
8/1/1998,SHIMLA,Wheat,NA
8/1/1998,LUCKNOW,Wheat,6.5
8/1/1998,AHMEDABAD,Wheat,9
8/1/1998,BHOPAL,Wheat,7.25
8/1/1998,MUMBAI,Wheat,10
8/1/1998,JAIPUR,Wheat,6.8
